sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error,mae_rank,mse_rank,r2_rank,worst_error_rank,avg_rank
7,6,100,10.0,99,2229,24.351090075948242,15.062359802602067,0.8190591011016983,75.70357142857142,6.5,178.5,182.5,314.5,170.5
7,6,400,10.0,99,2229,24.351090075948235,15.062359802602073,0.8190591011016984,75.70357142857146,10.5,174.5,178.5,318.5,170.5
7,6,100,20.0,99,2229,24.351090075948242,15.062359802602067,0.8190591011016983,75.70357142857142,6.5,178.5,182.5,314.5,170.5
7,6,100,30.0,99,2229,24.351090075948242,15.062359802602067,0.8190591011016983,75.70357142857142,6.5,178.5,182.5,314.5,170.5
7,6,400,30.0,99,2229,24.351090075948235,15.062359802602073,0.8190591011016984,75.70357142857146,10.5,174.5,178.5,318.5,170.5
30,6,100,10.0,99,2206,24.37012337069033,16.23348936536718,0.8210487748428452,70.46927117117116,180.0,188.0,136.0,180.0,171.0
15,1,400,10.0,99,2221,24.386378651619793,16.28954025213867,0.8190655472256112,70.21867946428573,210.5,198.5,166.5,134.5,177.5
15,1,400,20.0,99,2221,24.386378651619793,16.28954025213867,0.8190655472256112,70.21867946428573,210.5,198.5,166.5,134.5,177.5
15,1,400,,99,2221,24.386378651619793,16.28954025213867,0.8190655472256112,70.21867946428573,210.5,198.5,166.5,134.5,177.5
15,1,400,30.0,99,2221,24.386378651619793,16.28954025213867,0.8190655472256112,70.21867946428573,210.5,198.5,166.5,134.5,177.5
15,1,300,20.0,99,2221,24.37718773566979,16.28214328380609,0.8187280966324253,70.06838154761907,206.5,190.5,186.5,130.5,178.5
15,1,300,30.0,99,2221,24.37718773566979,16.28214328380609,0.8187280966324253,70.06838154761907,206.5,190.5,186.5,130.5,178.5
15,6,100,20.0,99,2221,24.3395503543664,16.269351238181002,0.8173070409810379,70.27313035714288,198.5,162.5,202.5,150.5,178.5
15,1,300,,99,2221,24.37718773566979,16.28214328380609,0.8187280966324253,70.06838154761907,206.5,190.5,186.5,130.5,178.5
15,6,100,10.0,99,2221,24.3395503543664,16.269351238181002,0.8173070409810379,70.27313035714288,198.5,162.5,202.5,150.5,178.5
15,1,300,10.0,99,2221,24.37718773566979,16.28214328380609,0.8187280966324253,70.06838154761907,206.5,190.5,186.5,130.5,178.5
15,6,100,30.0,99,2221,24.3395503543664,16.269351238181002,0.8173070409810379,70.27313035714288,198.5,162.5,202.5,150.5,178.5
15,6,100,,99,2221,24.3395503543664,16.269351238181002,0.8173070409810379,70.27313035714288,198.5,162.5,202.5,150.5,178.5
10,2,300,20.0,99,2226,24.473246246963893,16.32269985025457,0.8159116738958274,70.35866696428572,218.5,218.5,226.5,154.5,204.5
10,2,300,10.0,99,2226,24.473246246963893,16.32269985025457,0.8159116738958274,70.35866696428572,218.5,218.5,226.5,154.5,204.5
10,2,300,30.0,99,2226,24.473246246963893,16.32269985025457,0.8159116738958274,70.35866696428572,218.5,218.5,226.5,154.5,204.5
10,2,300,,99,2226,24.473246246963893,16.32269985025457,0.8159116738958274,70.35866696428572,218.5,218.5,226.5,154.5,204.5
7,2,200,20.0,99,2229,24.38591243508465,16.2588370794078,0.8170076664963877,71.0188294642857,186.5,194.5,206.5,254.5,210.5
