Datetime,MarginalES
2019-12-14 14:00:00,27.0
2019-12-15 14:00:00,30.0
2019-12-16 14:00:00,43.59
2019-12-17 14:00:00,46.6
2019-12-18 14:00:00,40.1
2019-12-19 14:00:00,28.8
2019-12-20 14:00:00,23.01
2019-12-21 14:00:00,2.3
2019-12-22 14:00:00,2.3
2019-12-23 14:00:00,31.53
2019-12-24 14:00:00,27.55
2019-12-25 14:00:00,12.03
2019-12-26 14:00:00,29.92
2019-12-27 14:00:00,37.52
2019-12-28 14:00:00,32.27
2019-12-29 14:00:00,30.61
2019-12-30 14:00:00,38.38
2019-12-31 14:00:00,37.9
2020-01-01 14:00:00,30.04
2020-01-02 14:00:00,44.9
2020-01-03 14:00:00,44.44
2020-01-04 14:00:00,32.07
2020-01-05 14:00:00,35.37
2020-01-06 14:00:00,40.51
2020-01-07 14:00:00,50.31
2020-01-08 14:00:00,49.17
2020-01-09 14:00:00,44.9
2020-01-10 14:00:00,38.01
2020-01-11 14:00:00,38.97
2020-01-12 14:00:00,38.43
2020-01-13 14:00:00,47.01
2020-01-14 14:00:00,41.25
2020-01-15 14:00:00,43.01
2020-01-16 14:00:00,40.08
2020-01-17 14:00:00,39.98
2020-01-18 14:00:00,37.86
2020-01-19 14:00:00,29.4
2020-01-20 14:00:00,39.98
2020-01-21 14:00:00,42.45
2020-01-22 14:00:00,49.97
2020-01-23 14:00:00,53.68
2020-01-24 14:00:00,53.29
2020-01-25 14:00:00,49.87
2020-01-26 14:00:00,38.23
2020-01-27 14:00:00,41.91
2020-01-28 14:00:00,40.01
2020-01-29 14:00:00,41.94
2020-01-30 14:00:00,40.08
2020-01-31 14:00:00,39.91
2020-02-01 14:00:00,29.1
2020-02-02 14:00:00,27.51
2020-02-03 14:00:00,42.47
2020-02-04 14:00:00,38.0
2020-02-05 14:00:00,36.39
2020-02-06 14:00:00,38.01
2020-02-07 14:00:00,38.88
2020-02-08 14:00:00,40.38
2020-02-09 14:00:00,29.5
2020-02-10 14:00:00,30.0
2020-02-11 14:00:00,41.69
2020-02-12 14:00:00,45.45
2020-02-13 14:00:00,38.39
2020-02-14 14:00:00,40.13
2020-02-15 14:00:00,30.61
2020-02-16 14:00:00,16.51
2020-02-17 14:00:00,36.91
2020-02-18 14:00:00,41.17
2020-02-19 14:00:00,42.69
2020-02-20 14:00:00,42.36
2020-02-21 14:00:00,39.25
2020-02-22 14:00:00,37.85
2020-02-23 14:00:00,32.05
2020-02-24 14:00:00,39.63
2020-02-25 14:00:00,33.13
2020-02-26 14:00:00,30.45
2020-02-27 14:00:00,25.58
2020-02-28 14:00:00,35.01
2020-02-29 14:00:00,15.99
2020-03-01 14:00:00,11.0
2020-03-02 14:00:00,21.26
2020-03-03 14:00:00,24.13
2020-03-04 14:00:00,34.05
2020-03-05 14:00:00,24.3
2020-03-06 14:00:00,16.3
2020-03-07 14:00:00,25.06
2020-03-08 14:00:00,24.0
2020-03-09 14:00:00,35.04
2020-03-10 14:00:00,36.84
2020-03-11 14:00:00,36.84
2020-03-12 14:00:00,39.01
2020-03-13 14:00:00,37.58
2020-03-14 14:00:00,34.83
2020-03-15 14:00:00,23.0
2020-03-16 14:00:00,25.0
2020-03-17 14:00:00,25.0
2020-03-18 14:00:00,31.48
2020-03-19 14:00:00,29.79
2020-03-20 14:00:00,30.79
2020-03-21 14:00:00,28.0
2020-03-22 14:00:00,28.7
2020-03-23 14:00:00,31.59
2020-03-24 14:00:00,31.05
2020-03-25 14:00:00,32.47
2020-03-26 14:00:00,19.5
2020-03-27 14:00:00,27.75
2020-03-28 14:00:00,29.95
